object_id,first_name,last_name,birthplace,affiliation_name,degree_type,subject,institution,graduated_at,created_at_x,updated_at_x,id,relationship_id,person_object_id,relationship_object_id,start_at,end_at,is_past,sequence,title,created_at_y,updated_at_y
p:155050,Allan,Hansen,Danmark,Awork,,,,,,,177055.0,177055.0,p:155050,c:171008,2012-04-02,,0.0,2.0,Partner,2012-09-10 17:07:49,2012-09-17 22:58:15
p:156154,James,Fitzgerald,,Valar Ventures,JD,Law,"University of California, Los Angeles (UCLA), School of Law",2001-01-01,2012-09-19 19:13:32,2012-09-24 21:47:13,178995.0,178995.0,p:156154,f:9511,2010-10-01,,0.0,4.0,Partner,2012-09-25 13:46:27,2013-12-02 08:21:42
p:158089,Toby,Danylchuk,,39 Celsius Web Marketing Consulting,BA,Chemistry/Biochemistry,UCSD,,2012-10-08 13:40:03,2012-10-20 03:52:57,181928.0,181928.0,p:158089,c:175038,2008-10-01,,0.0,1.0,Partner,2012-10-20 04:06:33,2012-10-25 06:21:36
p:158140,Ivo,Labar,,Kerr & Wagstaffe LLP,,,,,,,212350.0,212350.0,p:158140,c:198424,2001-09-01,,0.0,3.0,Partner,2013-04-19 11:03:18,2013-04-19 11:03:18
p:159448,Alexey,Maklakov,??????,VenturezLab,,,,,,,181860.0,181860.0,p:159448,c:173899,2011-09-01,,0.0,1.0,Managing Partner,2012-10-19 15:23:31,2012-10-26 03:14:54
p:159753,Dave,Swerdlick,,iThink Group  / StoryCub,,,,,,,183597.0,183597.0,p:159753,c:176414,2013-01-01,,0.0,1.0,Managing Partner,2012-11-02 14:38:30,2013-10-16 00:29:36
p:161192,cody,soto,Newport Beach,Plaedio,,,,,,,183757.0,183757.0,p:161192,c:176518,,,0.0,1.0,Investor,2012-11-04 00:13:38,2012-11-08 07:43:02
p:162230,Zac,Townsend,,Deciens Capital,BA,"Applied Math, Economics, Public Policy",Brown University,2009-01-01,2012-11-14 14:20:59,2012-11-19 07:28:11,184791.0,184791.0,p:162230,f:10081,2012-07-15,,0.0,2.0,General Partner,2012-11-13 18:45:11,2012-11-14 06:49:53
p:164987,Raj,Chudasama,New York City,Kriya Hotels,MS,Business Administration,University of Oklahoma,1999-01-01,2012-12-06 17:14:42,2012-12-13 06:17:47,187688.0,187688.0,p:164987,c:179767,2004-03-01,,0.0,1.0,Managing Partner,2012-12-06 17:14:42,2012-12-13 06:17:47
p:165361,John,McLean,New York,I'm VC,,,,,,,188076.0,188076.0,p:165361,f:10204,,,0.0,1.0,Partner,2012-12-10 19:31:09,2012-12-13 05:56:44
p:165690,Hakan,KIRKAN,Bitlis,Dominor LLC,,,,,,,188432.0,188432.0,p:165690,c:181130,2000-01-01,2012-12-12,1.0,1.0,Managing Partner,2012-12-13 00:31:38,2012-12-16 08:09:19
p:166461,Alex,Guibord,"Ottawa, Ontario, Canada",Pilot PMR,MS,,University of Sydney,2012-01-01,2012-12-19 17:10:16,2013-09-30 23:21:50,408374.0,408374.0,p:166461,c:246390,2013-10-01,,0.0,1.0,Consultant,2013-09-24 05:36:54,2013-09-24 10:25:15
p:167067,Søren,Louv-Jansen,Copenhagen,Købstaden,BS,Global Business Informatics,IT University,2013-01-01,2013-01-15 23:43:08,2013-01-16 19:53:44,189778.0,189778.0,p:167067,c:182295,,,0.0,1.0,Partner & Developer,2012-12-27 02:37:29,2012-12-28 16:39:27
p:167106,Tony,Pietrocola,United States,"iOTOS, Inc",,,,,,,189822.0,189822.0,p:167106,c:182334,2012-12-01,,0.0,1.0,Partner,2012-12-27 13:23:40,2012-12-30 06:38:28
p:167122,Joaquin,Altenberg,,VERT Investment Group,,,,,,,189837.0,189837.0,p:167122,f:10279,2008-11-01,,0.0,1.0,Managing Partner,2012-12-27 18:09:43,2013-04-19 02:04:24
p:167185,Jochen,Schweizer,Heidelberg,MiBaby,,,,,,,207675.0,207675.0,p:167185,c:196273,,,0.0,1.0,Investor,2013-04-13 20:53:01,2013-04-13 20:53:04
p:168589,Jorg,Roth,Bergisch Gladbach,VdR Investments LLP,,,,,,,191208.0,191208.0,p:168589,c:183532,2011-01-01,,0.0,2.0,Partner,2013-01-10 10:48:07,2013-01-15 05:43:57
p:169021,Peter,Hill,Eastbourne,Dominic Hill,,,,,,,191673.0,191673.0,p:169021,c:183914,,,0.0,1.0,Partner,2013-01-14 15:16:03,2013-01-18 16:07:54
p:169388,Larry,Cohen,,bgC3,,,,,,,192064.0,192064.0,p:169388,c:12679,2008-09-01,,0.0,4.0,Managing Partner,2013-01-16 22:28:14,2013-06-05 22:13:16
p:170482,Justin,Casale-Savage,,Sprokk,MBA,Finance,"University of California, Los Angeles (UCLA)",2011-01-01,2013-01-24 21:25:39,2013-01-25 05:43:56,193210.0,193210.0,p:170482,c:185079,2011-11-15,,0.0,2.0,Partner,2013-01-24 21:25:39,2013-01-25 05:43:58
p:170827,Haytham,Nasr,Beirut,Mygroup,BA,marketting,American University of Beirut,2003-01-01,2013-04-19 13:24:17,2013-04-19 13:24:17,193588.0,193588.0,p:170827,c:185384,2009-03-01,2013-01-28,1.0,3.0,Managing Partner,2013-01-28 12:02:11,2013-02-02 22:20:31
p:171306,Alireza,Masrour,,TrustGo,MBA,,Royal Roads University- Sharif University,2007-01-01,2013-09-10 04:42:15,2013-09-10 04:42:15,194125.0,194125.0,p:171306,c:78867,2008-08-01,,0.0,4.0,Managing Partner,2013-01-30 19:02:04,2013-09-10 04:43:04
p:171626,Isaac,Stern,NY,Yellowstone Capital LLC,,,,,,,194865.0,194865.0,p:171626,c:186268,,,0.0,1.0,Managing Partner,2013-02-04 14:32:33,2013-02-07 16:59:15
